#{"t_start": 1729732848.422208, "env_id": "None"}
r,l,t
0.30633354,60,29829.384519
-9.615545,16,29849.060695
2.4855013,77,29909.403903
2.6250343,93,29980.408294
-4.4376593,52,30024.080422
2.9443665,60,30073.097059
-4.095214,72,30130.09916
-10.010353,16,30149.771868
-1.4711571,43,30187.447988
-8.191299,30,30216.439315
-9.672639,24,30241.45223
-6.7206273,39,30276.45984
20.626753,100,30352.128111
1.0959072,47,30393.141689
6.698351,75,30452.139209
-12.707631,72,30509.156046
0.12115955,73,30566.816881
-10.948924,58,30614.493009
-7.04496,37,30648.159704
-5.1274934,44,30686.501098
-4.944945,31,30716.181263
-2.5951638,48,30757.184213
-7.608748,89,30825.519759
-7.411558,67,30879.20045
-8.7999115,36,30912.200756
22.172012,92,30982.535667
-9.114517,28,31010.208471
-8.664764,52,31053.886716
-6.6219325,30,31082.891406
-0.70523643,61,31132.558418
-8.656415,55,31178.236779
-9.556245,25,31203.903622
-7.1907635,23,31228.248097
-8.405517,36,31261.247813
-5.957301,27,31288.238343
-10.2259655,19,31309.918207
-3.4808016,57,31356.91906
-2.6389065,57,31403.930881
-3.2870588,32,31434.270888
-11.082073,100,31509.944787
7.580283,100,31585.636628
2.4998055,66,31638.646932
25.38142,100,31714.300429
-6.643791,43,31751.994558
-9.297997,27,31778.979018
-9.319426,27,31805.981164
-11.320125,25,31831.65962
-10.83769,39,31866.66873
1.246582,65,31919.01171
-8.887089,34,31950.678427
-5.745185,45,31989.691067
3.9659853,73,32047.366081
-9.189267,16,32067.027545
4.276513,79,32128.700545
-6.640024,46,32168.384409
-5.504689,40,32204.061435
-1.3704901,57,32251.066427
18.948488,100,32326.734751
-5.059655,33,32357.74401
-1.7195816,79,32419.415969
-0.41652107,38,32453.751348
-13.711508,51,32496.756346
-4.7129936,68,32551.094106
-4.8365135,41,32587.426808
2.9866705,98,32661.781369
-5.037902,27,32688.77335
-3.4341602,60,32737.783844
-5.2246833,36,32770.791836
1.1302414,51,32813.801502
-9.210565,15,32832.795335
0.08475876,61,32882.476897
-5.7503524,45,32921.476163
-9.5945635,26,32948.48606
-1.5586128,62,32998.831324
-7.42964,80,33061.167555
-8.033501,41,33097.503464
10.842209,100,33173.18443
2.4015732,62,33223.52067
-9.445133,51,33266.521147
-12.533824,100,33342.194051
1.4824858,50,33384.535483
-6.689164,27,33411.548519
-4.7912517,31,33441.219249
-8.533992,36,33474.224307
-8.284589,39,33509.222889
9.873404,100,33586.228446
0.88196564,86,33652.578039
-8.39215,66,33705.583197
-8.631922,22,33730.592731
-10.225662,19,33752.252628
-5.049162,24,33778.255507
-7.3408766,25,33803.928941
11.356566,100,33879.605034
28.374601,100,33955.280362
-9.591382,44,33993.616062
11.352051,100,34069.296557
2.0599566,50,34111.638753
3.9491453,96,34184.64856
5.6638136,100,34260.321412
-6.862468,23,34284.664758
-8.941902,21,34307.663533
-9.591102,29,34336.005921
-8.763765,53,34380.344853
26.279135,100,34456.005508
6.193487,54,34501.017776
-9.310066,16,34520.685663
7.308323,100,34596.364552
3.2505283,100,34672.041094
-2.1652975,90,34741.042376
-0.09471226,74,34799.38646
4.288829,62,34849.733588
-9.804024,22,34873.404647
-2.0538487,44,34911.732894
-0.07800388,83,34976.072479
18.414854,100,35051.758137
24.342623,100,35127.436655
4.0234995,75,35186.445316
-5.3630943,44,35224.775263
-2.0375583,100,35300.449477
-7.015501,33,35331.454912
-8.7863655,39,35366.464795
-9.219712,15,35385.465419
-4.2217126,75,35444.469907
-2.3624535,51,35487.479079
3.2255278,83,35551.815715
6.4330025,62,35602.157084
-3.0534892,97,35675.831193
-2.3551152,100,35752.833655
-2.0379066,100,35828.512819
-12.062842,58,35876.184261
-1.0660486,100,35951.861446
-7.822111,23,35976.206614
-4.3512497,81,36039.199338
-6.7987385,29,36067.537502
2.1801338,93,36138.554621
-5.523824,33,36169.548666
7.117592,100,36245.229027
-11.610775,35,36277.57133
-8.048022,24,36302.564013
-10.428153,40,36338.233758
-9.654103,18,36359.237049
-12.64545,100,36434.92006
5.278381,100,36510.593209
-0.59419155,72,36567.58874
-9.0675125,32,36597.939718
-5.960059,100,36673.609962
-12.857589,32,36705.617827
-0.79175705,100,36781.281106
-15.981,24,36806.294255
16.722267,100,36881.977572
-16.00918,78,36942.984285
-5.3268013,29,36971.322686
-8.902855,27,36999.645438
-8.349425,79,37061.318559
-5.0776563,56,37107.664037
-14.345865,100,37183.339948
-1.1067877,51,37226.355231
-6.925832,31,37256.01671
-8.708265,28,37283.687389
-1.0525236,51,37326.683227
3.7704258,64,37378.376111
-9.236815,23,37403.716464
0.88966274,51,37446.70316
-5.273832,38,37481.062216
-8.593628,23,37505.394489
-0.7612858,54,37550.396977
-9.289211,25,37576.069785
14.274137,100,37655.403412
15.049364,100,37731.080399
-9.808498,12,37748.078954
-8.216133,40,37783.76276
-9.360682,47,37824.091088
1.4807329,47,37864.43671
-7.6186447,43,37902.09749
-6.9866786,49,37943.776958
1.0849628,46,37983.456561
6.477154,86,38049.794349
-5.933003,63,38100.803158
-20.469864,100,38176.46786
-6.2351527,55,38222.141506
17.485374,100,38297.818271
0.44853497,85,38363.492236
-8.541254,18,38384.496735
5.099972,100,38460.171714
1.3994503,94,38531.846899
-8.347756,19,38553.520417
22.082521,100,38629.194742
-9.325063,31,38658.868467
13.817174,100,38734.536871
1.9126577,92,38804.878053
22.363602,100,38880.56168
-6.684108,35,38912.895413
-1.7775784,69,38967.904579
21.16486,100,39043.579236
-10.182223,38,39077.921485
18.96629,100,39153.584052
-9.019192,22,39177.263083
-9.483881,35,39209.595836
-6.446368,47,39249.94656
8.155008,100,39325.603933
-6.384083,36,39358.619996
12.130554,100,39434.298763
4.859789,83,39498.635744
3.524275,100,39574.312756
-8.398432,21,39597.323125
-6.3493485,62,39647.659535
-0.5868292,80,39709.993859
0.44244576,100,39785.683141
-8.283696,20,39809.352799
-8.065077,45,39848.357
-1.9905386,48,39889.353616
-7.190899,31,39919.02487
12.642403,100,39994.705794
-3.144999,57,40041.718199
-5.699992,53,40086.042447
-8.470896,75,40145.059976
-1.5439423,100,40220.721632
-3.167304,90,40289.743774
5.369664,91,40359.417261
-7.1150303,77,40419.760602
13.253487,100,40495.429955
-9.212298,27,40524.775323
-9.612099,37,40558.439096
-7.2915735,32,40588.77943
-1.5882435,45,40627.77299
-14.005278,92,40698.129934
8.552961,96,40771.133339
-2.0029902,52,40814.799198
-9.077227,19,40836.464481
